date,temp_atmos_10,radW/m2,netW/m2
date
2022-01-04 09:30:00+00:00,-6.38,57.18,-10.27
2022-01-04 09:45:00+00:00,-6.44,59.04,-11.11
2022-01-04 10:00:00+00:00,-6.51,57.31,-10.92
2022-01-04 10:15:00+00:00,-6.56,57.56,-10.85
2022-01-04 10:30:00+00:00,-6.62,56.73,-10.94
2022-01-04 10:45:00+00:00,-6.62,57.61,-10.59
2022-01-04 11:00:00+00:00,-6.55,57.61,-10.51
2022-01-04 11:15:00+00:00,-6.51,57.11,-11.02
2022-01-04 11:30:00+00:00,-6.41,55.56,-11.25
2022-01-04 11:45:00+00:00,-6.31,57.05,-11.29
2022-01-04 12:00:00+00:00,-6.27,60.07,-11.45
2022-01-04 12:15:00+00:00,-6.18,60.75,-10.50
2022-01-04 12:30:00+00:00,-6.04,60.30,-10.83
2022-01-04 12:45:00+00:00,-5.97,61.94,-11.04
2022-01-04 13:00:00+00:00,-5.96,61.72,-11.22
2022-01-04 13:15:00+00:00,-6.02,61.90,-10.91
2022-01-04 13:30:00+00:00,-6.00,68.19,-7.42
2022-01-04 13:45:00+00:00,-5.89,84.01,3.49
2022-01-04 14:00:00+00:00,-5.67,129.89,34.65
2022-01-04 14:15:00+00:00,-5.35,181.26,84.71
2022-01-04 14:30:00+00:00,-5.01,208.78,129.33
2022-01-04 14:45:00+00:00,-4.67,256.58,199.81
2022-01-04 15:00:00+00:00,-4.18,310.85,187.35
2022-01-04 15:15:00+00:00,-3.95,269.54,81.91
2022-01-04 15:30:00+00:00,-3.95,255.48,69.09
2022-01-04 15:45:00+00:00,-3.46,399.79,161.04
2022-01-04 16:00:00+00:00,-3.13,424.42,143.45
2022-01-04 16:15:00+00:00,-2.75,499.96,169.23
2022-01-04 16:30:00+00:00,-2.48,464.66,127.32
2022-01-04 16:45:00+00:00,-2.44,390.33,97.67
2022-01-04 17:00:00+00:00,-2.00,534.66,168.16
2022-01-04 17:15:00+00:00,-1.65,537.95,166.47
2022-01-04 17:30:00+00:00,-1.53,436.83,110.02
2022-01-04 17:45:00+00:00,-1.38,419.62,110.03
2022-01-04 18:00:00+00:00,-1.06,431.21,116.63
2022-01-04 18:15:00+00:00,-1.10,388.48,84.71
2022-01-04 18:30:00+00:00,-0.81,419.82,105.77
2022-01-04 18:45:00+00:00,-0.80,389.12,79.79
2022-01-04 19:00:00+00:00,-0.61,341.02,53.84
2022-01-04 19:30:00+00:00,-0.47,332.30,-7.97
2022-01-04 19:45:00+00:00,-0.35,308.32,-123.79
2022-01-04 20:00:00+00:00,-0.17,277.16,-34.66
2022-01-04 20:15:00+00:00,-0.04,292.75,-36.96
2022-01-04 20:30:00+00:00,0.11,287.48,-35.48
2022-01-04 20:45:00+00:00,0.16,243.94,-51.55
2022-01-04 21:00:00+00:00,0.03,214.18,-47.61
2022-01-04 21:15:00+00:00,-0.12,158.46,-36.27
2022-01-04 21:30:00+00:00,-0.32,145.29,-37.12
2022-01-04 21:45:00+00:00,-0.66,122.30,-37.01
2022-01-04 22:00:00+00:00,-0.97,93.23,-37.75
2022-01-04 22:15:00+00:00,-1.12,74.33,-36.55
2022-01-04 22:30:00+00:00,-1.27,60.84,-35.53
2022-01-04 22:45:00+00:00,-1.31,54.67,-33.19
2022-01-04 23:00:00+00:00,-1.24,53.78,-31.42
2022-01-04 23:15:00+00:00,-1.11,53.93,-31.20
2022-01-04 23:30:00+00:00,-1.03,54.41,-30.72
2022-01-04 23:45:00+00:00,-1.00,53.26,-32.01
2022-01-05 00:00:00+00:00,-1.05,53.39,-28.54
2022-01-05 00:15:00+00:00,-0.99,54.53,-28.39
2022-01-05 00:30:00+00:00,-0.99,54.12,-28.35
2022-01-05 00:45:00+00:00,-0.78,53.96,-30.62
2022-01-05 01:00:00+00:00,-0.49,53.87,-32.22
2022-01-05 01:15:00+00:00,-0.48,53.89,-34.20
2022-01-05 01:30:00+00:00,-0.38,53.39,-30.35
2022-01-05 01:45:00+00:00,-0.23,53.46,-26.30
2022-01-05 02:00:00+00:00,0.00,53.73,-30.66
2022-01-05 02:15:00+00:00,0.02,52.97,-37.92
2022-01-05 02:30:00+00:00,-0.09,53.23,-44.21
2022-01-05 02:45:00+00:00,-0.11,53.59,-37.33
2022-01-05 03:00:00+00:00,0.08,53.05,-27.71
2022-01-05 03:15:00+00:00,0.32,53.76,-23.91
2022-01-05 03:30:00+00:00,0.43,53.52,-24.64
2022-01-05 03:45:00+00:00,0.69,52.77,-34.11
2022-01-05 04:00:00+00:00,0.86,53.18,-40.05
2022-01-05 04:15:00+00:00,0.73,52.49,-46.50
2022-01-05 04:30:00+00:00,0.55,53.19,-45.37
2022-01-05 04:45:00+00:00,0.42,51.76,-44.85
2022-01-05 05:00:00+00:00,0.23,52.54,-44.85
2022-01-05 05:15:00+00:00,0.18,51.97,-42.30
2022-01-05 05:30:00+00:00,0.24,50.80,-41.29
2022-01-05 05:45:00+00:00,0.29,52.13,-41.14
2022-01-05 06:00:00+00:00,0.14,50.85,-41.65
2022-01-05 06:15:00+00:00,0.05,50.13,-41.14
2022-01-05 06:30:00+00:00,-0.05,50.12,-41.13
2022-01-05 06:45:00+00:00,-0.04,50.26,-38.96
2022-01-05 07:00:00+00:00,-0.03,49.13,-38.75
2022-01-05 07:15:00+00:00,-0.17,49.97,-38.64
2022-01-05 07:30:00+00:00,-0.31,49.10,-38.31
2022-01-05 07:45:00+00:00,-0.42,49.10,-34.06
2022-01-05 08:00:00+00:00,-0.38,49.53,-32.53
2022-01-05 08:15:00+00:00,-0.48,48.66,-34.29
2022-01-05 08:30:00+00:00,-0.50,48.73,-32.90
2022-01-05 08:45:00+00:00,-0.62,48.77,-35.36
2022-01-05 09:00:00+00:00,-0.77,49.10,-22.78
2022-01-05 09:15:00+00:00,-1.01,49.87,-14.11
2022-01-05 09:30:00+00:00,-1.16,49.15,-13.96
2022-01-05 09:45:00+00:00,-1.38,49.95,-14.94
2022-01-05 10:00:00+00:00,-1.77,48.70,0.72
2022-01-05 10:15:00+00:00,-2.71,49.52,-66.87
2022-01-05 10:30:00+00:00,-3.52,49.33,-123.82
2022-01-05 10:45:00+00:00,-4.12,51.27,-73.56
2022-01-05 11:00:00+00:00,-4.78,51.38,-18.33
2022-01-05 11:15:00+00:00,-5.34,51.82,-15.72
2022-01-05 11:30:00+00:00,-5.69,52.28,-14.53
2022-01-05 11:45:00+00:00,-5.94,52.02,-15.86
2022-01-05 12:00:00+00:00,-6.45,57.36,-16.29
2022-01-05 12:15:00+00:00,-7.20,57.77,-15.59
2022-01-05 12:30:00+00:00,-7.59,57.72,-15.86
2022-01-05 12:45:00+00:00,-7.99,56.70,-11.97
2022-01-05 13:00:00+00:00,-8.30,57.22,-10.87
2022-01-05 13:15:00+00:00,-8.64,56.91,-14.03
2022-01-05 13:30:00+00:00,-8.84,53.35,-10.04
2022-01-05 13:45:00+00:00,-8.74,58.81,-10.61
2022-01-05 14:00:00+00:00,-8.90,64.54,-8.88
2022-01-05 14:15:00+00:00,-9.30,69.77,-8.13
2022-01-05 14:30:00+00:00,-9.55,80.01,-8.59
2022-01-05 14:45:00+00:00,-9.86,100.94,-7.35
2022-01-05 15:00:00+00:00,-10.06,112.88,-14.94
2022-01-05 15:15:00+00:00,-10.32,135.78,-12.57
2022-01-05 15:30:00+00:00,-10.64,161.15,-13.28
2022-01-05 15:45:00+00:00,-10.99,242.15,-2.05
2022-01-05 16:00:00+00:00,-11.22,314.24,-36.75
2022-01-05 16:15:00+00:00,-11.26,287.03,-25.59
2022-01-05 16:30:00+00:00,-11.46,363.43,-14.09
2022-01-05 16:45:00+00:00,-11.45,366.21,-37.52
2022-01-05 17:00:00+00:00,-11.71,402.91,-38.33
2022-01-05 17:15:00+00:00,-11.73,272.88,-45.16
2022-01-05 17:30:00+00:00,-11.78,378.98,-4.86
2022-01-05 17:45:00+00:00,-11.61,428.44,-12.57
2022-01-05 18:00:00+00:00,-11.94,341.25,-47.57
2022-01-05 18:15:00+00:00,-12.23,303.90,-4.24
2022-01-05 18:30:00+00:00,-11.98,372.94,3.12
2022-01-05 18:45:00+00:00,-12.13,305.05,-26.81
2022-01-05 19:00:00+00:00,-12.10,261.25,8.51
2022-01-05 19:15:00+00:00,-12.23,277.69,6.70
2022-01-05 19:30:00+00:00,-12.32,277.74,-11.16
2022-01-05 19:45:00+00:00,-12.41,213.50,-8.65
2022-01-05 20:00:00+00:00,-12.50,183.42,-5.56
2022-01-05 20:15:00+00:00,-12.30,190.71,6.68
2022-01-05 20:30:00+00:00,-12.12,190.20,-0.37
2022-01-05 20:45:00+00:00,-12.20,162.72,-9.25
2022-01-05 21:00:00+00:00,-12.07,182.69,-2.35
2022-01-05 21:15:00+00:00,-12.22,127.94,-14.82
2022-01-05 21:30:00+00:00,-12.15,128.82,-1.05
2022-01-05 21:45:00+00:00,-12.00,103.20,-16.72
2022-01-05 22:00:00+00:00,-12.02,82.24,-15.48
2022-01-05 22:15:00+00:00,-12.00,68.59,-12.93
2022-01-05 22:30:00+00:00,-11.94,56.93,-5.45
2022-01-05 22:45:00+00:00,-11.96,51.66,-10.46
2022-01-05 23:00:00+00:00,-12.02,49.52,-5.37
2022-01-05 23:15:00+00:00,-12.12,48.65,-6.72
